Wall time,Step,Value
1710198303.4127245,400,33.80852127075195
1710198344.6591828,2400,57.097469329833984
1710198379.9556248,4400,42.8363151550293
1710198415.3264265,6400,50.643375396728516
1710198450.479802,8400,68.36975860595703
1710198486.1926847,10400,36.51529312133789
1710198527.1208084,12400,52.791622161865234
1710198561.939969,14400,54.82512283325195
1710198596.8678665,16400,48.978424072265625
1710198632.636407,18400,55.02193069458008
1710198668.593992,20400,59.43016815185547
1710198710.7276144,22400,51.3662109375
1710198746.7500095,24400,64.28834533691406
1710198783.1190004,26400,57.62764358520508
1710198819.0530465,28400,56.30647277832031
1710198855.1113563,30400,63.209842681884766
1710198896.8947053,32400,63.47154998779297
1710198932.5259438,34400,70.15019989013672
1710198968.6137211,36400,63.399513244628906
1710199005.26145,38400,69.43653106689453
1710199041.8269522,40400,74.03102111816406
1710199083.2711346,42400,54.870704650878906
1710199118.8189287,44400,70.70325469970703
1710199155.0599368,46400,62.03679656982422
1710199191.0288334,48400,57.59834289550781
1710199226.7419038,50400,73.3263168334961
1710199269.1616054,52400,65.71367645263672
1710199304.5787253,54400,80.95123291015625
1710199339.9296532,56400,79.52809143066406
1710199375.798222,58400,90.3865737915039
